id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
406,ALABAMA,ALABAMA,0,199688,57.35,6225,1.79,20812,5.98,336,0.10,319,0.09,1763,0.51,3807,1.09,3379,0.97,16258,4.67,1068,0.31,107,0.03,25034,7.19,1892,0.54,7818,2.25,61,0.02,2255,0.65,2033,0.58,1467,0.42,182,0.05,604,0.17,17309,4.97,57,0.02,1054,0.30,12857,3.69,6073,1.74,10584,3.04,5014,1.44,421,0.12,77383,22.22,1,0.00,55,0.02,497,0.14,0,3482050,2007
407,ALASKA,ALASKA,1,4161,NULL,182,NULL,1287,NULL,6,NULL,9,NULL,24,NULL,143,NULL,152,NULL,1037,NULL,91,NULL,7,NULL,410,NULL,9,NULL,7,NULL,1,NULL,2,NULL,259,NULL,56,NULL,3,NULL,33,NULL,271,NULL,0,NULL,6,NULL,91,NULL,277,NULL,31,NULL,88,NULL,0,NULL,747,NULL,0,NULL,11,NULL,390,NULL,30,654555,2007
408,ALASKA,ALASKA,0,38578,58.94,1727,2.64,4247,6.49,39,0.06,75,0.11,160,0.24,1453,2.22,470,0.72,3390,5.18,357,0.55,30,0.05,4098,6.26,136,0.21,161,0.25,8,0.01,21,0.03,954,1.46,402,0.61,343,0.52,172,0.26,1759,2.69,8,0.01,332,0.51,5187,7.92,1847,2.82,129,0.20,986,1.51,7,0.01,15651,23.91,2,0.00,11,0.02,390,0.60,0,654555,2007
409,ARIZONA,ARIZONA,1,52173,NULL,1551,NULL,10518,NULL,25,NULL,32,NULL,422,NULL,1072,NULL,1483,NULL,7915,NULL,943,NULL,177,NULL,4744,NULL,74,NULL,111,NULL,54,NULL,159,NULL,3543,NULL,570,NULL,25,NULL,278,NULL,5334,NULL,1,NULL,318,NULL,597,NULL,6085,NULL,0,NULL,3206,NULL,42,NULL,5343,NULL,0,NULL,4268,NULL,5352,NULL,78,5941252,2007
410,ARIZONA,ARIZONA,0,321503,54.11,8490,1.43,39236,6.60,297,0.05,215,0.04,1872,0.32,6106,1.03,4681,0.79,30342,5.11,3924,0.66,289,0.05,24597,4.14,4446,0.75,1983,0.33,393,0.07,1285,0.22,11573,1.95,3688,0.62,1600,0.27,1695,0.29,35384,5.96,1,0.00,3105,0.52,38260,6.44,27405,4.61,4,0.00,16750,2.82,1344,0.23,90644,15.26,0,0.00,4268,0.72,5352,0.90,0,5941252,2007
411,ARKANSAS,ARKANSAS,1,8809,NULL,306,NULL,2103,NULL,5,NULL,12,NULL,69,NULL,220,NULL,491,NULL,1539,NULL,68,NULL,5,NULL,1035,NULL,15,NULL,23,NULL,1,NULL,96,NULL,472,NULL,124,NULL,1,NULL,38,NULL,791,NULL,0,NULL,12,NULL,138,NULL,236,NULL,264,NULL,529,NULL,0,NULL,1806,NULL,0,NULL,528,NULL,291,NULL,210,1875132,2007
412,ARKANSAS,ARKANSAS,0,101694,54.23,2937,1.57,9343,4.98,60,0.03,143,0.08,416,0.22,2318,1.24,2064,1.10,6973,3.72,274,0.15,32,0.02,8162,4.35,811,0.43,3124,1.67,19,0.01,891,0.48,1336,0.71,957,0.51,154,0.08,154,0.08,9953,5.31,3,0.00,234,0.12,8892,4.74,1369,0.73,8118,4.33,2323,1.24,673,0.36,41421,22.09,1,0.00,528,0.28,291,0.16,0,1875132,2007
413,CALIFORNIA,CALIFORNIA,1,233558,NULL,17416,NULL,45662,NULL,235,NULL,239,NULL,6721,NULL,10221,NULL,13908,NULL,26331,NULL,4563,NULL,860,NULL,22086,NULL,320,NULL,597,NULL,184,NULL,3301,NULL,16887,NULL,8597,NULL,584,NULL,2256,NULL,22047,NULL,78,NULL,12,NULL,1626,NULL,5579,NULL,4638,NULL,11835,NULL,310,NULL,44228,NULL,0,NULL,21126,NULL,4189,NULL,634,35715843,2007
414,CALIFORNIA,CALIFORNIA,0,1540894,43.14,124293,3.48,165192,4.63,2022,0.06,2141,0.06,21064,0.59,99066,2.77,53738,1.50,87455,2.45,22458,0.63,1541,0.04,90070,2.52,9862,0.28,10159,0.28,2268,0.06,19752,0.55,34799,0.97,32513,0.91,12558,0.35,15145,0.42,289449,8.10,689,0.02,395,0.01,204015,5.71,21108,0.59,112398,3.15,16604,0.46,4000,0.11,350310,9.81,0,0.00,21126,0.59,4189,0.12,0,35715843,2007
415,COLORADO,COLORADO4,1,43848,NULL,814,NULL,7622,NULL,7,NULL,60,NULL,165,NULL,582,NULL,785,NULL,6263,NULL,370,NULL,204,NULL,2243,NULL,51,NULL,165,NULL,22,NULL,150,NULL,1872,NULL,645,NULL,12,NULL,214,NULL,3482,NULL,0,NULL,75,NULL,514,NULL,5034,NULL,3,NULL,4039,NULL,15,NULL,9251,NULL,3,NULL,2088,NULL,5534,NULL,189,4358882,2007
416,COLORADO,COLORADO4,0,225099,51.64,5741,1.32,23984,5.50,109,0.03,427,0.10,864,0.20,4341,1.00,2644,0.61,19507,4.48,1525,0.35,308,0.07,15089,3.46,1256,0.29,2379,0.55,220,0.05,1026,0.24,5796,1.33,2325,0.53,668,0.15,840,0.19,18290,4.20,8,0.00,2745,0.63,27969,6.42,15943,3.66,305,0.07,12287,2.82,171,0.04,80426,18.45,9,0.00,2088,0.48,5534,1.27,0,4358882,2007
417,CONNECTICUT,CONNECTICUT,1,18702,NULL,1028,NULL,3711,NULL,3,NULL,32,NULL,240,NULL,753,NULL,633,NULL,2721,NULL,275,NULL,82,NULL,3561,NULL,28,NULL,62,NULL,10,NULL,52,NULL,1006,NULL,325,NULL,1,NULL,134,NULL,1613,NULL,4,NULL,72,NULL,98,NULL,310,NULL,1,NULL,3404,NULL,0,NULL,3221,NULL,0,NULL,43,NULL,18,NULL,94,3243990,2007
418,CONNECTICUT,CONNECTICUT,0,120182,37.05,5481,1.69,15546,4.79,66,0.02,224,0.07,1260,0.39,3931,1.21,2608,0.80,11895,3.67,805,0.25,238,0.07,19129,5.90,792,0.24,1441,0.44,214,0.07,450,0.14,2564,0.79,1357,0.42,479,0.15,564,0.17,14663,4.52,25,0.01,1318,0.41,8571,2.64,1130,0.35,3,0.00,15372,4.74,36,0.01,30986,9.55,0,0.00,43,0.01,18,0.01,0,3243990,2007
419,DELAWARE,DELAWARE,1,7321,NULL,548,NULL,1526,NULL,2,NULL,34,NULL,209,NULL,303,NULL,290,NULL,1160,NULL,42,NULL,34,NULL,1617,NULL,14,NULL,107,NULL,18,NULL,111,NULL,376,NULL,127,NULL,0,NULL,40,NULL,759,NULL,1,NULL,4,NULL,0,NULL,454,NULL,23,NULL,780,NULL,0,NULL,695,NULL,0,NULL,121,NULL,0,NULL,53,853712,2007
420,DELAWARE,DELAWARE,0,41350,48.44,2857,3.35,6109,7.16,23,0.03,130,0.15,652,0.76,2052,2.40,1027,1.20,4871,5.71,147,0.17,64,0.08,8491,9.95,633,0.74,2061,2.41,282,0.33,454,0.53,1166,1.37,421,0.49,188,0.22,167,0.20,5744,6.73,2,0.00,244,0.29,229,0.27,2503,2.93,587,0.69,2449,2.87,560,0.66,6082,7.12,0,0.00,121,0.14,0,0.00,0,853712,2007
