id,state,state_original,under_18,total_arrests,total_arrests_per_capita,violent_crimes,violent_crimes_per_capita,property_crimes,property_crimes_per_capita,murder_and_nonnegligent_manslaughter,murder_and_nonnegligent_manslaughter_per_capita,forcible_rape,forcible_rape_per_capita,robbery,robbery_per_capita,aggravated_assault,aggravated_assault_per_capita,burglary,burglary_per_capita,larceny_theft,larceny_theft_per_capita,motor_vehicle_theft,motor_vehicle_theft_per_capita,arson,arson_per_capita,other_assults,other_assults_per_capita,forgery_and_counterfeiting,forgery_and_counterfeiting_per_capita,fraud,fraud_per_capita,embezzlement,embezzlement_per_capita,stolen_property,stolen_property_per_capita,vandalism,vandalism_per_capita,weapons_posession,weapons_posession_per_capita,prostitution,prostitution_per_capita,sex_offenses,sex_offenses_per_capita,drug_abuse_violations,drug_abuse_violations_per_capita,gambling,gambling_per_capita,offenses_against_family_and_children,offenses_against_family_and_children_per_capita,dui,dui_per_capita,liquor_laws,liquor_laws_per_capita,drunkenness,drunkenness_per_capita,disorderly_conduct,disorderly_conduct_per_capita,vagrancy,vagrancy_per_capita,all_others,all_others_per_capita,suspicion,suspicion_per_capita,curfew_and_loitering,curfew_and_loitering_per_capita,runaways,runaways_per_capita,number_of_agencies,estimated_population,year
460,NEVADA,NEVADA,0,167412,67.84,5595,2.27,15606,6.32,151,0.06,186,0.08,1739,0.70,3519,1.43,2889,1.17,10747,4.36,1831,0.74,139,0.06,18817,7.63,1329,0.54,2315,0.94,544,0.22,1727,0.70,2463,1.00,2389,0.97,5430,2.20,1385,0.56,14444,5.85,98,0.04,1650,0.67,12538,5.08,9281,3.76,123,0.05,3255,1.32,3873,1.57,59493,24.11,34,0.01,3572,1.45,1451,0.59,0,2467618,2007
461,NEW HAMPSHIRE,NEW HAMPSHIRE,1,6602,NULL,85,NULL,687,NULL,1,NULL,3,NULL,12,NULL,69,NULL,106,NULL,535,NULL,29,NULL,17,NULL,802,NULL,4,NULL,40,NULL,4,NULL,107,NULL,535,NULL,30,NULL,0,NULL,37,NULL,536,NULL,0,NULL,9,NULL,97,NULL,987,NULL,373,NULL,159,NULL,0,NULL,1832,NULL,0,NULL,8,NULL,270,NULL,131,891903,2007
462,NEW HAMPSHIRE,NEW HAMPSHIRE,0,38396,43.05,358,0.40,2274,2.55,4,0.00,30,0.03,76,0.09,248,0.28,333,0.37,1829,2.05,82,0.09,30,0.03,4337,4.86,139,0.16,877,0.98,22,0.02,409,0.46,1158,1.30,89,0.10,27,0.03,138,0.15,2570,2.88,24,0.03,180,0.20,4146,4.65,4753,5.33,4333,4.86,918,1.03,21,0.02,11345,12.72,0,0.00,8,0.01,270,0.30,0,891903,2007
463,NEW JERSEY,NEW JERSEY,1,55824,NULL,3123,NULL,8094,NULL,37,NULL,56,NULL,1466,NULL,1564,NULL,1568,NULL,6070,NULL,246,NULL,210,NULL,4425,NULL,71,NULL,114,NULL,17,NULL,1342,NULL,3436,NULL,1733,NULL,17,NULL,289,NULL,6448,NULL,20,NULL,52,NULL,347,NULL,2863,NULL,0,NULL,4763,NULL,36,NULL,9120,NULL,0,NULL,4872,NULL,4642,NULL,539,8421399,2007
464,NEW JERSEY,NEW JERSEY,0,383797,45.57,13680,1.62,31828,3.78,269,0.03,400,0.05,4065,0.48,8946,1.06,5848,0.69,24672,2.93,936,0.11,372,0.04,26830,3.19,1738,0.21,3681,0.44,139,0.02,4567,0.54,7457,0.89,5451,0.65,1706,0.20,1606,0.19,52773,6.27,182,0.02,14958,1.78,25031,2.97,7757,0.92,0,0.00,22776,2.70,992,0.12,151131,17.95,0,0.00,4872,0.58,4642,0.55,0,8421399,2007
465,NEW MEXICO,NEW MEXICO,1,10371,NULL,459,NULL,1719,NULL,10,NULL,17,NULL,66,NULL,366,NULL,241,NULL,1365,NULL,94,NULL,19,NULL,1202,NULL,13,NULL,38,NULL,20,NULL,117,NULL,427,NULL,293,NULL,5,NULL,17,NULL,1238,NULL,1,NULL,3,NULL,192,NULL,917,NULL,4,NULL,777,NULL,2,NULL,2423,NULL,4,NULL,12,NULL,488,NULL,58,1391131,2007
466,NEW MEXICO,NEW MEXICO,0,78484,56.42,3396,2.44,6689,4.81,74,0.05,117,0.08,376,0.27,2829,2.03,1001,0.72,5256,3.78,389,0.28,43,0.03,6856,4.93,278,0.20,453,0.33,163,0.12,824,0.59,856,0.62,728,0.52,348,0.25,147,0.11,6805,4.89,1,0.00,713,0.51,10006,7.19,4014,2.89,607,0.44,2737,1.97,14,0.01,32312,23.23,37,0.03,12,0.01,488,0.35,0,1391131,2007
467,NEW YORK,NEW YORK4,1,46232,NULL,3090,NULL,11478,NULL,30,NULL,108,NULL,1243,NULL,1709,NULL,2328,NULL,8323,NULL,649,NULL,178,NULL,4723,NULL,184,NULL,307,NULL,144,NULL,1076,NULL,4272,NULL,757,NULL,8,NULL,841,NULL,5958,NULL,16,NULL,385,NULL,364,NULL,1089,NULL,2,NULL,2544,NULL,77,NULL,8917,NULL,0,NULL,0,NULL,0,NULL,611,10520724,2007
468,NEW YORK,NEW YORK4,0,345251,32.82,16069,1.53,52969,5.03,362,0.03,715,0.07,4185,0.40,10807,1.03,8283,0.79,41506,3.95,2707,0.26,473,0.05,33324,3.17,4445,0.42,8474,0.81,1031,0.10,5701,0.54,13408,1.27,4256,0.40,1318,0.13,4344,0.41,61163,5.81,163,0.02,2489,0.24,28440,2.70,5262,0.50,2,0.00,15868,1.51,1133,0.11,85392,8.12,0,0.00,0,0.00,0,0.00,0,10520724,2007
469,NORTH CAROLINA,NORTH CAROLINA,1,45412,NULL,2409,NULL,10847,NULL,54,NULL,74,NULL,915,NULL,1366,NULL,3087,NULL,7282,NULL,305,NULL,173,NULL,7968,NULL,49,NULL,472,NULL,97,NULL,802,NULL,2276,NULL,1633,NULL,8,NULL,139,NULL,3855,NULL,11,NULL,97,NULL,408,NULL,1307,NULL,0,NULL,4939,NULL,39,NULL,7554,NULL,0,NULL,2,NULL,500,NULL,303,6998327,2007
470,NORTH CAROLINA,NORTH CAROLINA,0,407663,58.25,19623,2.80,56115,8.02,622,0.09,577,0.08,4186,0.60,14238,2.03,15261,2.18,38769,5.54,1668,0.24,417,0.06,53785,7.69,2728,0.39,22278,3.18,1865,0.27,5530,0.79,8594,1.23,7644,1.09,1492,0.21,1478,0.21,38343,5.48,159,0.02,7258,1.04,26928,3.85,9898,1.41,0,0.00,16454,2.35,382,0.05,126607,18.09,0,0.00,2,0.00,500,0.07,0,6998327,2007
471,NORTH DAKOTA,NORTH DAKOTA,1,6651,NULL,47,NULL,1122,NULL,2,NULL,7,NULL,8,NULL,30,NULL,100,NULL,935,NULL,73,NULL,14,NULL,456,NULL,4,NULL,33,NULL,4,NULL,46,NULL,309,NULL,26,NULL,0,NULL,17,NULL,261,NULL,0,NULL,86,NULL,51,NULL,1306,NULL,3,NULL,620,NULL,0,NULL,1220,NULL,0,NULL,318,NULL,722,NULL,63,562723,2007
472,NORTH DAKOTA,NORTH DAKOTA,0,27359,48.62,321,0.57,2517,4.47,11,0.02,38,0.07,33,0.06,239,0.42,259,0.46,2068,3.68,165,0.29,25,0.04,1957,3.48,113,0.20,863,1.53,28,0.05,130,0.23,608,1.08,114,0.20,6,0.01,70,0.12,1743,3.10,3,0.01,168,0.30,4119,7.32,5717,10.16,713,1.27,1584,2.81,4,0.01,5541,9.85,0,0.00,318,0.57,722,1.28,0,562723,2007
473,OHIO,OHIO,1,40970,NULL,1158,NULL,7710,NULL,29,NULL,132,NULL,527,NULL,470,NULL,1375,NULL,5784,NULL,409,NULL,142,NULL,6129,NULL,46,NULL,159,NULL,4,NULL,800,NULL,1736,NULL,539,NULL,3,NULL,216,NULL,3186,NULL,6,NULL,856,NULL,206,NULL,2523,NULL,72,NULL,3410,NULL,9,NULL,9453,NULL,11,NULL,1791,NULL,947,NULL,374,6848511,2007
474,OHIO,OHIO,0,256718,37.49,6911,1.01,33375,4.87,194,0.03,562,0.08,2591,0.38,3564,0.52,6110,0.89,25564,3.73,1399,0.20,302,0.04,30211,4.41,1369,0.20,3373,0.49,31,0.00,3972,0.58,4506,0.66,2951,0.43,1472,0.21,1027,0.15,34740,5.07,53,0.01,7448,1.09,19155,2.80,13600,1.99,4887,0.71,20922,3.06,49,0.01,63863,9.33,65,0.01,1791,0.26,947,0.14,0,6848511,2007
475,OKLAHOMA,OKLAHOMA,1,21357,NULL,714,NULL,4512,NULL,16,NULL,58,NULL,179,NULL,461,NULL,920,NULL,3193,NULL,290,NULL,109,NULL,1389,NULL,26,NULL,55,NULL,80,NULL,479,NULL,511,NULL,351,NULL,1,NULL,71,NULL,2022,NULL,1,NULL,56,NULL,254,NULL,442,NULL,964,NULL,1125,NULL,0,NULL,2975,NULL,0,NULL,2200,NULL,3129,NULL,292,3615869,2007
476,OKLAHOMA,OKLAHOMA,0,161719,44.72,5665,1.57,15161,4.19,183,0.05,319,0.09,793,0.22,4370,1.21,3066,0.85,10810,2.99,1010,0.28,275,0.08,10302,2.85,977,0.27,2662,0.74,637,0.18,2555,0.71,1553,0.43,2520,0.70,434,0.12,781,0.22,22319,6.17,5,0.00,1072,0.30,18229,5.04,3295,0.91,25171,6.96,3474,0.96,0,0.00,39578,10.95,0,0.00,2200,0.61,3129,0.87,0,3615869,2007
477,OREGON,OREGON,1,30236,NULL,862,NULL,6948,NULL,7,NULL,31,NULL,241,NULL,583,NULL,848,NULL,5568,NULL,349,NULL,183,NULL,2324,NULL,51,NULL,86,NULL,1,NULL,101,NULL,2068,NULL,353,NULL,23,NULL,213,NULL,2259,NULL,5,NULL,11,NULL,194,NULL,4846,NULL,0,NULL,1447,NULL,0,NULL,3566,NULL,0,NULL,2735,NULL,2143,NULL,145,3522777,2007
478,OREGON,OREGON,0,147335,41.82,4938,1.40,26225,7.44,82,0.02,294,0.08,1173,0.33,3389,0.96,2869,0.81,21006,5.96,2049,0.58,301,0.09,15173,4.31,1393,0.40,1768,0.50,62,0.02,684,0.19,5213,1.48,1889,0.54,516,0.15,1270,0.36,18664,5.30,7,0.00,621,0.18,17096,4.85,17928,5.09,0,0.00,7615,2.16,24,0.01,21371,6.07,0,0.00,2735,0.78,2143,0.61,0,3522777,2007
479,PENNSYLVANIA,PENNSYLVANIA,1,102497,NULL,5257,NULL,13274,NULL,52,NULL,216,NULL,2117,NULL,2872,NULL,2464,NULL,9241,NULL,1212,NULL,357,NULL,8854,NULL,97,NULL,376,NULL,37,NULL,693,NULL,4715,NULL,1564,NULL,14,NULL,557,NULL,6458,NULL,22,NULL,46,NULL,650,NULL,7610,NULL,330,NULL,16677,NULL,80,NULL,7713,NULL,0,NULL,25321,NULL,2152,NULL,930,11408646,2007
480,PENNSYLVANIA,PENNSYLVANIA,0,467655,40.99,24609,2.16,56190,4.93,516,0.05,1094,0.10,7211,0.63,15788,1.38,9722,0.85,41558,3.64,4168,0.37,742,0.07,45908,4.02,3356,0.29,9376,0.82,448,0.04,3355,0.29,12457,1.09,4569,0.40,2301,0.20,2772,0.24,57305,5.02,280,0.02,1102,0.10,49238,4.32,26428,2.32,24316,2.13,60747,5.32,764,0.07,54661,4.79,0,0.00,25321,2.22,2152,0.19,0,11408646,2007
481,RHODE ISLAND,RHODE ISLAND,1,4149,NULL,80,NULL,890,NULL,2,NULL,3,NULL,16,NULL,59,NULL,185,NULL,657,NULL,27,NULL,21,NULL,478,NULL,8,NULL,9,NULL,8,NULL,55,NULL,396,NULL,108,NULL,0,NULL,22,NULL,358,NULL,0,NULL,98,NULL,31,NULL,128,NULL,4,NULL,709,NULL,0,NULL,685,NULL,0,NULL,30,NULL,52,NULL,41,876018,2007
482,RHODE ISLAND,RHODE ISLAND,0,26966,30.78,463,0.53,2700,3.08,9,0.01,37,0.04,71,0.08,346,0.40,567,0.65,1975,2.25,125,0.14,33,0.04,2946,3.36,102,0.12,678,0.77,140,0.16,253,0.29,955,1.09,257,0.29,128,0.15,74,0.08,2933,3.35,16,0.02,146,0.17,2131,2.43,749,0.86,9,0.01,2313,2.64,0,0.00,9891,11.29,0,0.00,30,0.03,52,0.06,0,876018,2007
483,SOUTH CAROLINA,SOUTH CAROLINA,1,24945,NULL,1360,NULL,5180,NULL,32,NULL,56,NULL,291,NULL,981,NULL,1332,NULL,3584,NULL,188,NULL,76,NULL,4236,NULL,74,NULL,111,NULL,31,NULL,300,NULL,1256,NULL,775,NULL,2,NULL,148,NULL,3260,NULL,6,NULL,223,NULL,92,NULL,902,NULL,175,NULL,3002,NULL,0,NULL,3227,NULL,0,NULL,50,NULL,535,NULL,479,4179455,2007
484,SOUTH CAROLINA,SOUTH CAROLINA,0,213355,51.05,10681,2.56,25181,6.02,302,0.07,418,0.10,1705,0.41,8256,1.98,5306,1.27,18615,4.45,1073,0.26,187,0.04,23105,5.53,2457,0.59,17664,4.23,559,0.13,2489,0.60,4173,1.00,2718,0.65,654,0.16,671,0.16,30679,7.34,192,0.05,1611,0.39,11712,2.80,11311,2.71,10618,2.54,14808,3.54,1361,0.33,40126,9.60,0,0.00,50,0.01,535,0.13,0,4179455,2007
485,SOUTH DAKOTA,SOUTH DAKOTA,1,3665,NULL,42,NULL,645,NULL,0,NULL,8,NULL,1,NULL,33,NULL,61,NULL,544,NULL,18,NULL,22,NULL,247,NULL,6,NULL,57,NULL,3,NULL,25,NULL,113,NULL,30,NULL,0,NULL,8,NULL,210,NULL,0,NULL,33,NULL,75,NULL,1219,NULL,16,NULL,153,NULL,0,NULL,237,NULL,0,NULL,254,NULL,292,NULL,89,388719,2007
486,SOUTH DAKOTA,SOUTH DAKOTA,0,18014,46.34,265,0.68,1502,3.86,8,0.02,29,0.07,17,0.04,211,0.54,175,0.45,1244,3.20,53,0.14,30,0.08,1815,4.67,52,0.13,610,1.57,16,0.04,67,0.17,301,0.77,84,0.22,4,0.01,41,0.11,1371,3.53,0,0.00,202,0.52,4203,10.81,4572,11.76,105,0.27,979,2.52,13,0.03,1266,3.26,0,0.00,254,0.65,292,0.75,0,388719,2007
487,TENNESSEE,TENNESSEE,1,35880,NULL,1747,NULL,6576,NULL,16,NULL,47,NULL,543,NULL,1141,NULL,1300,NULL,4742,NULL,452,NULL,82,NULL,5548,NULL,80,NULL,168,NULL,39,NULL,63,NULL,1459,NULL,760,NULL,40,NULL,143,NULL,3298,NULL,34,NULL,30,NULL,194,NULL,1380,NULL,377,NULL,4021,NULL,0,NULL,5863,NULL,0,NULL,1951,NULL,2109,NULL,394,4848243,2007
488,TENNESSEE,TENNESSEE,0,304793,62.87,13613,2.81,36353,7.50,286,0.06,368,0.08,2915,0.60,10044,2.07,5880,1.21,27773,5.73,2501,0.52,199,0.04,30507,6.29,3426,0.71,9323,1.92,1155,0.24,835,0.17,4478,0.92,3404,0.70,2219,0.46,733,0.15,38899,8.02,335,0.07,1420,0.29,27178,5.61,8754,1.81,21671,4.47,11774,2.43,61,0.01,84595,17.45,0,0.00,1951,0.40,2109,0.44,0,4848243,2007
489,TEXAS,TEXAS,1,166976,NULL,4881,NULL,28262,NULL,59,NULL,302,NULL,1487,NULL,3033,NULL,5277,NULL,21347,NULL,1317,NULL,321,NULL,20570,NULL,208,NULL,368,NULL,45,NULL,110,NULL,5420,NULL,1673,NULL,126,NULL,618,NULL,15434,NULL,68,NULL,23,NULL,1180,NULL,5454,NULL,3369,NULL,22717,NULL,1757,NULL,29922,NULL,0,NULL,12203,NULL,12568,NULL,941,21758415,2007
490,TEXAS,TEXAS,0,1087325,49.97,33309,1.53,119633,5.50,759,0.03,1947,0.09,7593,0.35,23010,1.06,18544,0.85,93431,4.29,6817,0.31,841,0.04,99238,4.56,7843,0.36,14401,0.66,427,0.02,642,0.03,13282,0.61,12681,0.58,8552,0.39,3878,0.18,136361,6.27,695,0.03,4757,0.22,88236,4.06,29125,1.34,130622,6.00,41719,1.92,2652,0.12,314501,14.45,0,0.00,12203,0.56,12568,0.58,0,21758415,2007
491,UTAH,UTAH,1,25789,NULL,351,NULL,5513,NULL,1,NULL,60,NULL,71,NULL,219,NULL,367,NULL,4799,NULL,248,NULL,99,NULL,2028,NULL,34,NULL,72,NULL,1,NULL,172,NULL,1795,NULL,391,NULL,4,NULL,326,NULL,1485,NULL,2,NULL,133,NULL,124,NULL,2670,NULL,236,NULL,1996,NULL,200,NULL,5595,NULL,0,NULL,1969,NULL,692,NULL,103,2316297,2007
492,UTAH,UTAH,0,120167,51.88,1798,0.78,15694,6.78,38,0.02,195,0.08,406,0.18,1159,0.50,1256,0.54,13667,5.90,625,0.27,146,0.06,9788,4.23,990,0.43,1269,0.55,17,0.01,869,0.38,3930,1.70,1253,0.54,349,0.15,865,0.37,9239,3.99,3,0.00,2073,0.90,7204,3.11,10679,4.61,4426,1.91,5101,2.20,212,0.09,41746,18.02,1,0.00,1969,0.85,692,0.30,0,2316297,2007
493,VERMONT,VERMONT,1,1836,NULL,42,NULL,370,NULL,3,NULL,4,NULL,3,NULL,32,NULL,101,NULL,226,NULL,37,NULL,6,NULL,303,NULL,4,NULL,9,NULL,0,NULL,30,NULL,122,NULL,23,NULL,0,NULL,12,NULL,186,NULL,0,NULL,6,NULL,40,NULL,228,NULL,4,NULL,172,NULL,0,NULL,279,NULL,0,NULL,0,NULL,6,NULL,78,608835,2007
494,VERMONT,VERMONT,0,16731,27.48,438,0.72,1820,2.99,9,0.01,40,0.07,24,0.04,365,0.60,356,0.58,1343,2.21,102,0.17,19,0.03,1756,2.88,121,0.20,414,0.68,40,0.07,168,0.28,445,0.73,27,0.04,2,0.00,53,0.09,1632,2.68,0,0.00,336,0.55,3662,6.01,843,1.38,5,0.01,1070,1.76,2,0.00,3891,6.39,0,0.00,0,0.00,6,0.01,0,608835,2007
495,VIRGINIA,VIRGINIA,1,39666,NULL,1142,NULL,6137,NULL,21,NULL,39,NULL,508,NULL,574,NULL,1226,NULL,4490,NULL,218,NULL,203,NULL,4885,NULL,53,NULL,103,NULL,105,NULL,216,NULL,1548,NULL,689,NULL,1,NULL,248,NULL,2808,NULL,10,NULL,30,NULL,183,NULL,1825,NULL,215,NULL,1978,NULL,0,NULL,9314,NULL,0,NULL,2620,NULL,5556,NULL,334,7325924,2007
496,VIRGINIA,VIRGINIA,0,313457,42.79,7229,0.99,28562,3.90,267,0.04,354,0.05,2057,0.28,4551,0.62,4381,0.60,22858,3.12,959,0.13,364,0.05,36747,5.02,2101,0.29,8299,1.13,1817,0.25,1015,0.14,4847,0.66,3892,0.53,647,0.09,1019,0.14,32941,4.50,113,0.02,1636,0.22,24170,3.30,10129,1.38,28899,3.94,7034,0.96,78,0.01,104106,14.21,0,0.00,2620,0.36,5556,0.76,0,7325924,2007
497,WASHINGTON,WASHINGTON,1,35096,NULL,1440,NULL,10234,NULL,13,NULL,120,NULL,524,NULL,783,NULL,1662,NULL,7887,NULL,491,NULL,194,NULL,4571,NULL,66,NULL,55,NULL,14,NULL,503,NULL,2414,NULL,778,NULL,54,NULL,195,NULL,2913,NULL,0,NULL,25,NULL,706,NULL,4118,NULL,0,NULL,757,NULL,6,NULL,4395,NULL,0,NULL,31,NULL,1821,NULL,214,4877122,2007
498,WASHINGTON,WASHINGTON,0,248676,50.99,7616,1.56,36073,7.40,115,0.02,770,0.16,1915,0.39,4816,0.99,5211,1.07,28673,5.88,1845,0.38,344,0.07,28616,5.87,2111,0.43,1223,0.25,158,0.03,3903,0.80,6901,1.42,3448,0.71,874,0.18,1187,0.24,28872,5.92,10,0.00,725,0.15,37317,7.65,12918,2.65,0,0.00,5136,1.05,46,0.01,69690,14.29,0,0.00,31,0.01,1821,0.37,0,4877122,2007
499,WEST VIRGINIA,WEST VIRGINIA,1,2347,NULL,59,NULL,513,NULL,1,NULL,0,NULL,9,NULL,49,NULL,73,NULL,400,NULL,29,NULL,11,NULL,404,NULL,4,NULL,7,NULL,1,NULL,20,NULL,97,NULL,22,NULL,0,NULL,11,NULL,224,NULL,0,NULL,2,NULL,30,NULL,174,NULL,27,NULL,35,NULL,0,NULL,598,NULL,0,NULL,65,NULL,54,NULL,275,1400508,2007
500,WEST VIRGINIA,WEST VIRGINIA,0,46835,33.44,1182,0.84,4498,3.21,35,0.03,32,0.02,149,0.11,966,0.69,622,0.44,3608,2.58,214,0.15,54,0.04,5919,4.23,337,0.24,1056,0.75,101,0.07,281,0.20,692,0.49,289,0.21,233,0.17,109,0.08,3928,2.80,4,0.00,62,0.04,6327,4.52,1569,1.12,4684,3.34,1222,0.87,10,0.01,14213,10.15,0,0.00,65,0.05,54,0.04,0,1400508,2007
501,WISCONSIN,WISCONSIN,1,105319,NULL,1818,NULL,16047,NULL,33,NULL,199,NULL,675,NULL,911,NULL,1953,NULL,12901,NULL,1067,NULL,126,NULL,3988,NULL,92,NULL,216,NULL,27,NULL,669,NULL,4315,NULL,1422,NULL,27,NULL,1182,NULL,4911,NULL,50,NULL,190,NULL,641,NULL,10212,NULL,3,NULL,19376,NULL,61,NULL,27782,NULL,0,NULL,7671,NULL,4619,NULL,366,5484944,2007
502,WISCONSIN,WISCONSIN,0,421093,76.77,8007,1.46,40989,7.47,217,0.04,782,0.14,1971,0.36,5037,0.92,4900,0.89,33639,6.13,2187,0.40,263,0.05,20158,3.68,2015,0.37,7346,1.34,249,0.05,1687,0.31,10658,1.94,4894,0.89,825,0.15,3041,0.55,25746,4.69,153,0.03,2884,0.53,41308,7.53,43695,7.97,5,0.00,65824,12.00,3054,0.56,126265,23.02,0,0.00,7671,1.40,4619,0.84,0,5484944,2007
503,WYOMING,WYOMING,1,7139,NULL,70,NULL,988,NULL,0,NULL,3,NULL,6,NULL,61,NULL,84,NULL,836,NULL,58,NULL,10,NULL,837,NULL,1,NULL,7,NULL,0,NULL,15,NULL,310,NULL,48,NULL,0,NULL,20,NULL,562,NULL,0,NULL,25,NULL,89,NULL,1213,NULL,26,NULL,278,NULL,7,NULL,1642,NULL,74,NULL,437,NULL,490,NULL,61,516496,2007
504,WYOMING,WYOMING,0,39808,77.07,641,1.24,2683,5.19,13,0.03,37,0.07,43,0.08,548,1.06,292,0.57,2230,4.32,138,0.27,23,0.04,3370,6.52,93,0.18,180,0.35,7,0.01,74,0.14,783,1.52,134,0.26,4,0.01,157,0.30,3110,6.02,5,0.01,230,0.45,6116,11.84,4370,8.46,2480,4.80,1452,2.81,21,0.04,12879,24.94,92,0.18,437,0.85,490,0.95,0,516496,2007
505,MISSOURI,MISSOURI,1,28657,5.11,1105,0.20,7424,1.32,21,0.00,61,0.01,377,0.07,646,0.12,1040,0.19,5999,1.07,281,0.05,104,0.02,4328,0.77,32,0.01,57,0.01,3,0.00,389,0.07,1346,0.24,360,0.06,2,0.00,461,0.08,2763,0.49,7,0.00,60,0.01,261,0.05,1728,0.31,20,0.00,1918,0.34,5,0.00,4793,0.85,0,0.00,1595,0.28,NULL,NULL,385,5612383,2012
506,LOUISIANA,LOUISIANA,1,13492,5.86,1097,0.48,3414,1.48,31,0.01,30,0.01,265,0.12,771,0.33,808,0.35,2465,1.07,107,0.05,34,0.01,2170,0.94,4,0.00,11,0.00,0,0.00,206,0.09,443,0.19,222,0.10,5,0.00,115,0.05,1176,0.51,9,0.00,43,0.02,27,0.01,207,0.09,34,0.01,2217,0.96,59,0.03,1892,0.82,14,0.01,127,0.06,NULL,NULL,102,2304044,2012
507,KENTUCKY,KENTUCKY,0,179435,42.80,3704,0.88,21538,5.14,161,0.04,248,0.06,1231,0.29,2064,0.49,3939,0.94,16744,3.99,674,0.16,181,0.04,10956,2.61,1104,0.26,976,0.23,432,0.10,1772,0.42,1126,0.27,1122,0.27,270,0.06,400,0.10,21141,5.04,19,0.00,4752,1.13,23157,5.52,517,0.12,18837,4.49,4960,1.18,296,0.07,62328,14.87,0,0.00,28,0.01,NULL,NULL,0,4192532,2012
508,KENTUCKY,KENTUCKY,1,7001,1.67,398,0.09,2450,0.58,11,0.00,26,0.01,224,0.05,137,0.03,531,0.13,1760,0.42,96,0.02,63,0.02,1049,0.25,8,0.00,12,0.00,12,0.00,158,0.04,234,0.06,87,0.02,0,0.00,77,0.02,722,0.17,0,0.00,6,0.00,100,0.02,61,0.01,114,0.03,344,0.08,13,0.00,1128,0.27,0,0.00,28,0.01,NULL,NULL,362,4192532,2012
509,KANSAS,KANSAS,0,78153,37.83,2269,1.10,7934,3.84,43,0.02,146,0.07,221,0.11,1859,0.90,1009,0.49,6444,3.12,426,0.21,55,0.03,11035,5.34,391,0.19,841,0.41,196,0.09,324,0.16,1974,0.96,616,0.30,154,0.07,279,0.14,7629,3.69,1,0.00,243,0.12,10378,5.02,5845,2.83,346,0.17,2833,1.37,0,0.00,24865,12.03,0,0.00,0,0.00,NULL,NULL,0,2066137,2012
510,KANSAS,KANSAS,1,7105,3.44,255,0.12,1849,0.89,0,0.00,41,0.02,36,0.02,178,0.09,176,0.09,1553,0.75,97,0.05,23,0.01,1073,0.52,17,0.01,16,0.01,10,0.00,27,0.01,323,0.16,52,0.03,1,0.00,100,0.05,845,0.41,0,0.00,8,0.00,118,0.06,991,0.48,1,0.00,362,0.18,0,0.00,1057,0.51,0,0.00,0,0.00,NULL,NULL,232,2066137,2012
511,IOWA,IOWA,0,102554,37.89,4128,1.53,13911,5.14,28,0.01,89,0.03,244,0.09,3767,1.39,1857,0.69,11584,4.28,342,0.13,128,0.05,8442,3.12,548,0.20,766,0.28,95,0.04,248,0.09,2197,0.81,618,0.23,189,0.07,191,0.07,8666,3.20,6,0.00,1041,0.38,10845,4.01,6183,2.28,12060,4.46,5954,2.20,44,0.02,25881,9.56,0,0.00,541,0.20,NULL,NULL,0,2706862,2012
512,IOWA,IOWA,1,14469,5.35,521,0.19,3838,1.42,2,0.00,27,0.01,43,0.02,449,0.17,657,0.24,3004,1.11,114,0.04,63,0.02,1698,0.63,24,0.01,46,0.02,9,0.00,62,0.02,823,0.30,139,0.05,3,0.00,55,0.02,1147,0.42,0,0.00,3,0.00,134,0.05,1239,0.46,255,0.09,1865,0.69,0,0.00,2067,0.76,0,0.00,541,0.20,NULL,NULL,191,2706862,2012
513,INDIANA,INDIANA,0,151935,36.38,5987,1.43,22874,5.48,169,0.04,114,0.03,1104,0.26,4600,1.10,3094,0.74,18588,4.45,1063,0.25,129,0.03,15110,3.62,679,0.16,1421,0.34,79,0.02,787,0.19,1872,0.45,1462,0.35,828,0.20,1327,0.32,18372,4.40,18,0.00,1192,0.29,14844,3.55,8661,2.07,11071,2.65,5491,1.31,42,0.01,39141,9.37,234,0.06,443,0.11,NULL,NULL,0,4176156,2012
514,INDIANA,INDIANA,1,19005,4.55,741,0.18,4532,1.09,14,0.00,15,0.00,226,0.05,486,0.12,612,0.15,3546,0.85,320,0.08,54,0.01,3389,0.81,10,0.00,33,0.01,4,0.00,181,0.04,663,0.16,208,0.05,2,0.00,239,0.06,1786,0.43,10,0.00,65,0.02,81,0.02,1658,0.40,189,0.05,1519,0.36,12,0.00,3115,0.75,125,0.03,443,0.11,NULL,NULL,149,4176156,2012
515,ILLINOIS,ILLINOIS7,0,125398,43.84,6685,2.34,18344,6.41,319,0.11,381,0.13,2440,0.85,3545,1.24,2317,0.81,13579,4.75,2387,0.83,61,0.02,18286,6.39,170,0.06,212,0.07,1,0.00,90,0.03,3504,1.22,3982,1.39,2154,0.75,549,0.19,35715,12.48,2467,0.86,319,0.11,4192,1.47,914,0.32,0,0.00,10613,3.71,55,0.02,17000,5.94,0,0.00,146,0.05,NULL,NULL,0,2860675,2012
