state,city,population,murder_and_nonnegligent_manslaughter,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,year,state_original,city_original,forcible_rape,violent_crimes,property_crimes,murder_and_nonnegligent_manslaughter_per_capita,robbery_per_capita,aggravated_assault_per_capita,burglary_per_capita,larceny_theft_per_capita,motor_vehicle_theft_per_capita,forcible_rape_per_capita,violent_crimes_per_capita,property_crimes_per_capita
NORTH DAKOTA,Hazen,2461,0,0,0,1,0,0,2015,NORTH DAKOTA,Hazen,0,0,1,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.41
NORTH DAKOTA,Hillsboro,1589,0,0,1,0,0,1,2015,NORTH DAKOTA,Hillsboro,0,1,1,0.00,0.00,0.63,0.00,0.00,0.63,0.00,0.63,0.63
NORTH DAKOTA,Jamestown,15447,0,3,40,71,287,29,2015,NORTH DAKOTA,Jamestown,8,51,387,0.00,0.19,2.59,4.60,18.58,1.88,0.52,3.30,25.05
NORTH DAKOTA,Kenmare,1087,0,0,1,0,0,1,2015,NORTH DAKOTA,Kenmare,0,1,1,0.00,0.00,0.92,0.00,0.00,0.92,0.00,0.92,0.92
NORTH DAKOTA,Killdeer,1110,0,0,2,3,18,1,2015,NORTH DAKOTA,Killdeer,0,2,22,0.00,0.00,1.80,2.70,16.22,0.90,0.00,1.80,19.82
NORTH DAKOTA,Kulm,342,0,0,0,0,0,0,2015,NORTH DAKOTA,Kulm,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NORTH DAKOTA,Lamoure,948,0,0,1,2,1,0,2015,NORTH DAKOTA,Lamoure,0,1,3,0.00,0.00,1.05,2.11,1.05,0.00,0.00,1.05,3.16
NORTH DAKOTA,Lincoln,3623,0,0,2,3,24,1,2015,NORTH DAKOTA,Lincoln,0,2,28,0.00,0.00,0.55,0.83,6.62,0.28,0.00,0.55,7.73
NORTH DAKOTA,Lisbon,2138,1,0,2,6,23,3,2015,NORTH DAKOTA,Lisbon,1,4,32,0.47,0.00,0.94,2.81,10.76,1.40,0.47,1.87,14.97
NORTH DAKOTA,Mandan,21448,0,5,33,75,665,74,2015,NORTH DAKOTA,Mandan,24,62,814,0.00,0.23,1.54,3.50,31.01,3.45,1.12,2.89,37.95
NORTH DAKOTA,Medora,138,0,0,0,0,0,0,2015,NORTH DAKOTA,Medora,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NORTH DAKOTA,Minot,49842,3,27,99,390,1073,157,2015,NORTH DAKOTA,Minot,43,172,1620,0.06,0.54,1.99,7.82,21.53,3.15,0.86,3.45,32.50
NORTH DAKOTA,Napoleon,781,0,0,0,1,0,0,2015,NORTH DAKOTA,Napoleon,0,0,1,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00,1.28
NORTH DAKOTA,New Town,2531,0,0,1,0,3,0,2015,NORTH DAKOTA,New Town,0,1,3,0.00,0.00,0.40,0.00,1.19,0.00,0.00,0.40,1.19
NORTH DAKOTA,Northwood,912,0,0,2,0,2,1,2015,NORTH DAKOTA,Northwood,0,2,3,0.00,0.00,2.19,0.00,2.19,1.10,0.00,2.19,3.29
NORTH DAKOTA,Oakes,1789,0,0,0,1,3,1,2015,NORTH DAKOTA,Oakes,1,1,5,0.00,0.00,0.00,0.56,1.68,0.56,0.56,0.56,2.79
NORTH DAKOTA,Powers Lake,307,0,0,0,0,2,0,2015,NORTH DAKOTA,Powers Lake,0,0,2,0.00,0.00,0.00,0.00,6.51,0.00,0.00,0.00,6.51
NORTH DAKOTA,Rolla,1344,0,0,1,3,19,2,2015,NORTH DAKOTA,Rolla,0,1,24,0.00,0.00,0.74,2.23,14.14,1.49,0.00,0.74,17.86
NORTH DAKOTA,Rugby,2919,0,0,4,10,47,6,2015,NORTH DAKOTA,Rugby,0,4,63,0.00,0.00,1.37,3.43,16.10,2.06,0.00,1.37,21.58
NORTH DAKOTA,Sherwood,254,0,0,1,1,0,0,2015,NORTH DAKOTA,Sherwood,0,1,1,0.00,0.00,3.94,3.94,0.00,0.00,0.00,3.94,3.94
